site,feature_count,total_columns,row_count,file_size_mb,has_target,valid_target_rows,error
AUS_BRI_BRI,272,277,5935,1.95,True,5935,
AUS_CAN_ST1_EUC,272,277,2388,0.89,True,2388,
AUS_CAN_ST3_ACA,272,277,2458,0.89,True,2458,
AUS_CAR_THI_00F,272,277,8022,0.39,True,8022,
AUS_CAR_THI_0PF,272,277,8228,0.39,True,8228,
AUS_CAR_THI_CON,272,277,8429,0.4,True,8429,
AUS_CAR_THI_T00,272,277,7370,0.37,True,7370,
AUS_CAR_THI_T0F,272,277,7691,0.38,True,7691,
AUS_ELL_MB_MOD,272,277,39761,13.52,True,39761,
AUS_ELL_UNB,272,277,19534,7.98,True,19534,
AUS_MAR_HSD_HIG,272,277,62391,24.78,True,62391,
AUS_MAR_HSW_HIG,272,277,42348,27.67,True,42348,
AUS_MAR_MSD_MOD,272,277,61524,24.14,True,61524,
AUS_MAR_MSW_MOD,272,277,48978,23.75,True,48978,
AUS_MAR_UBW,272,277,27256,12.83,True,27256,
AUS_MAR_UBD,272,277,15196,7.28,True,15196,
AUS_WOM,272,277,286604,159.73,True,286604,
CHN_YIN_ST3_DRO,272,277,36519,24.7,True,36519,
CHN_ARG_GWS,272,277,40386,30.07,True,40386,
CHN_ARG_GWD,272,277,40280,29.99,True,40280,
CAN_TUR_P39_PRE,272,277,375458,242.5,True,375458,
CHE_DAV_SEE,272,277,233504,138.66,True,233504,
ZAF_WEL_SOR,272,277,17286,10.4,True,17286,
ZAF_FRA_FRA,272,277,24051,0.82,True,24051,
ZAF_RAD,272,277,15540,11.6,True,15540,
USA_TNO,272,277,76955,42.72,True,76955,
USA_CHE_ASP,272,277,72105,36.59,True,72105,
CHN_YIN_ST2_DRO,272,277,24548,18.37,True,24548,
CHN_YIN_ST1,272,277,60790,37.2,True,60790,
CHN_HOR_AFF,272,277,49696,23.78,True,49696,
CHN_YUN_YUN,272,277,67568,36.2,True,67568,
CZE_LIZ_LES,272,277,507503,128.4,True,507503,
ESP_MAJ_MAI,272,277,75082,57.78,True,75082,
ESP_SAN_B_100,272,277,19714,11.15,True,19714,
ESP_SAN_A_45I,272,277,20014,11.25,True,20014,
ESP_SAN_A2_45I,272,277,12716,9.99,True,12716,
ESP_RIN,272,277,15408,9.75,True,15408,
ESP_MAJ_NOR_LM1,272,277,59993,48.62,True,59993,
FRA_HES_HE1_NON,272,277,50265,27.63,True,50265,
FRA_PUE,272,277,237644,127.56,True,237644,
ESP_TIL_MIX,272,277,1816845,1338.25,True,1816845,
ESP_VAL_SOR,272,277,136283,97.95,True,136283,
ESP_SAN_B2_100,272,277,4178,4.8,True,4178,
USA_INM,272,277,64118,35.9,True,64118,
ZAF_SOU_SOU,272,277,10296,8.88,True,10296,
SEN_SOU_IRR,272,277,895,0.88,True,895,
MEX_COR_YP,272,277,7636,6.24,True,7636,
NLD_LOO,272,277,176158,101.79,True,176158,
NLD_SPE_DOU,272,277,29587,23.26,True,29587,
PRT_MIT,272,277,72428,43.96,True,72428,
IDN_JAM_RUB,272,277,29101,18.18,True,29101,
ITA_TOR,272,277,46630,39.7,True,46630,
IDN_JAM_OIL,272,277,8282,5.24,True,8282,
GBR_GUI_ST1,272,277,75073,41.71,True,75073,
USA_HIL_HF1_PRE,272,277,382616,59.69,True,382616,
THA_KHU,272,277,73921,32.84,True,73921,
SEN_SOU_PRE,272,277,16763,12.16,True,16763,
SEN_SOU_POS,272,277,3144,2.68,True,3144,
USA_TNB,271,276,24998,15.68,True,24998,
USA_PER_PER,271,276,337132,154.7,True,337132,
BRA_SAN,271,276,39399,17.24,True,39399,
GBR_ABE_PLO,271,276,32994,19.31,True,32994,
NZL_HUA_HUA,271,276,716050,495.74,True,716050,
USA_CHE_MAP,271,276,75637,33.03,True,75637,
HUN_SIK,270,275,24321,17.53,True,24321,
CRI_TAM_TOW,270,275,286820,60.89,True,286820,
USA_SWH,266,271,30960,16.51,True,30960,
BRA_CAM,266,271,31476,12.92,True,31476,
MDG_SEM_TAL,266,271,21738,9.62,True,21738,
MDG_YOU_SHO,266,271,10020,4.49,True,10020,
PRT_PIN,264,269,298416,83.98,True,298416,
USA_MOR_SF,255,260,16609,9.52,True,16609,
AUT_PAT_KRU,255,260,15172,7.66,True,15172,
AUT_PAT_TRE,255,260,12834,7.29,True,12834,
AUT_PAT_FOR,255,260,16083,8.87,True,16083,
AUT_TSC,255,260,40529,12.56,True,40529,
CHE_PFY_CON,255,260,40191,23.82,True,40191,
CHE_PFY_IRR,255,260,27925,13.75,True,27925,
ESP_VAL_BAR,255,260,62968,42.79,True,62968,
ESP_RON_PIL,249,254,228356,96.48,True,228356,
ESP_YUN_T1_THI,249,254,117720,56.01,True,117720,
ESP_YUN_C2,249,254,57951,32.89,True,57951,
ESP_YUN_C1,249,254,150167,67.6,True,150167,
ESP_YUN_T3_THI,249,254,281259,125.79,True,281259,
RUS_CHE_LOW,248,253,21499,11.35,True,21499,
AUS_KAR,246,251,30506,3.47,True,30506,
