feature,importance,feature_name,feature_index
f107,1345187.5,longitude,f107
f110,459724.21875,mean_annual_precip,f110
f126,304567.03125,latitude_abs,f126
f105,239407.0,temp_deviation,f105
f133,223466.875,tree_volume_index,f133
f7,203324.59375,ppfd_in,f7
f117,179637.53125,measurement_timestep,f117
f112,179475.65625,stand_age,f112
f116,166185.03125,n_trees,f116
f106,147688.390625,latitude,f106
f140,110401.3359375,tree_size_class_code,f140
f81,108410.1796875,sw_in_mean_3h,f81
f109,106764.28125,mean_annual_temp,f109
f1,104485.03125,rh,f1
f59,104357.0390625,ta_mean_6h,f59
f6,100357.796875,swc_shallow,f6
f52,94442.453125,ppfd_in_lag_2h,f52
f20,85520.7265625,rh_lag_24h,f20
f125,85502.0859375,climate_zone_code,f125
f70,78163.1640625,vpd_std_3h,f70
f114,77991.609375,tree_density,f114
f134,74528.8125,timezone_offset,f134
f139,73216.234375,pl_social_code,f139
f2,68625.8203125,vpd,f2
f8,68048.2421875,ext_rad,f8
f144,66200.78125,species_name_code,f144
f92,64825.953125,sw_in_std_72h,f92
f132,60371.05859375,sapwood_leaf_ratio,f132
f119,59603.17578125,pl_dbh,f119
f137,56783.37109375,country_code,f137
f3,55770.95703125,sw_in,f3
f93,55332.3828125,rh_mean_3h,f93
f108,53022.2734375,elevation,f108
f71,52130.53125,vpd_mean_6h,f71
f136,51118.0234375,igbp_class_code,f136
f68,50799.27734375,ta_std_72h,f68
f78,49795.2265625,vpd_std_48h,f78
f118,49702.5078125,pl_age,f118
f50,48052.0546875,swc_shallow_lag_24h,f50
f4,47289.125,ws,f4
f69,45938.15625,vpd_mean_3h,f69
f27,45184.671875,sw_in_lag_1h,f27
f26,44271.55078125,vpd_lag_24h,f26
f124,44183.83203125,pl_sapw_depth,f124
f102,43285.47265625,rh_std_48h,f102
f51,42601.7421875,ppfd_in_lag_1h,f51
f83,39849.15625,sw_in_mean_6h,f83
f127,39547.25390625,aridity_index,f127
f21,38524.28515625,vpd_lag_1h,f21
f122,36418.140625,pl_bark_thick,f122
f120,34339.43359375,pl_height,f120
f113,34057.40234375,basal_area,f113
f115,33911.2734375,stand_height,f115
f43,32139.61328125,precip_lag_12h,f43
f121,31849.765625,pl_leaf_area,f121
f148,31040.9375,sand_percentage,f148
f123,30995.505859375,pl_sapw_area,f123
f73,30767.951171875,vpd_mean_12h,f73
f138,28431.3984375,growth_condition_code,f138
f66,26442.037109375,ta_std_48h,f66
f135,25610.6953125,measurement_frequency,f135
f0,24968.365234375,ta,f0
f42,23160.810546875,precip_lag_6h,f42
f80,22419.4140625,vpd_std_72h,f80
f5,21739.705078125,precip,f5
f95,21643.603515625,rh_mean_6h,f95
f82,21492.78515625,sw_in_std_3h,f82
f143,21354.744140625,site_name_code,f143
f129,20762.337890625,biome_code,f129
f131,20146.560546875,social_status_code,f131
f111,20112.81640625,is_inside_country,f111
f130,19673.703125,igbp_code,f130
f57,19204.533203125,ta_mean_3h,f57
f41,18349.01171875,precip_lag_3h,f41
f94,17889.298828125,rh_std_3h,f94
f61,17839.681640625,ta_mean_12h,f61
f142,16127.1708984375,site_code_code,f142
f32,16019.27734375,sw_in_lag_24h,f32
f141,15923.837890625,tree_age_class_code,f141
f128,15460.5478515625,leaf_habit_code,f128
f31,15436.5087890625,sw_in_lag_12h,f31
f44,15300.3125,precip_lag_24h,f44
f39,15081.8486328125,precip_lag_1h,f39
f101,14903.8388671875,rh_mean_48h,f101
f151,14801.6005859375,solar_hour,f151
f14,14680.9306640625,ta_lag_24h,f14
f48,13986.96875,swc_shallow_lag_6h,f48
f87,13218.58984375,sw_in_mean_24h,f87
f56,11628.50390625,ppfd_in_lag_24h,f56
f15,11299.12109375,rh_lag_1h,f15
f88,11250.4755859375,sw_in_std_24h,f88
f63,10692.697265625,ta_mean_24h,f63
f23,10603.67578125,vpd_lag_3h,f23
f145,10575.3466796875,timezone_code,f145
f100,10125.322265625,rh_std_24h,f100
f65,10012.5166015625,ta_mean_48h,f65
f89,9951.935546875,sw_in_mean_48h,f89
f104,9946.4345703125,rh_std_72h,f104
f67,9789.978515625,ta_mean_72h,f67
f91,9648.962890625,sw_in_mean_72h,f91
f147,9391.158203125,clay_percentage,f147
f19,8911.0302734375,rh_lag_12h,f19
f90,8790.4541015625,sw_in_std_48h,f90
f46,8620.4013671875,swc_shallow_lag_2h,f46
f45,8573.9130859375,swc_shallow_lag_1h,f45
f146,8348.1259765625,pl_species_code,f146
f77,8263.294921875,vpd_mean_48h,f77
f76,8225.8935546875,vpd_std_24h,f76
f40,8172.0341796875,precip_lag_2h,f40
f11,8030.88720703125,ta_lag_3h,f11
f64,7970.09619140625,ta_std_24h,f64
f55,7869.4326171875,ppfd_in_lag_12h,f55
f98,7787.07080078125,rh_std_12h,f98
f75,7748.396484375,vpd_mean_24h,f75
f85,7484.482421875,sw_in_mean_12h,f85
f86,7099.705078125,sw_in_std_12h,f86
f17,7007.70361328125,rh_lag_3h,f17
f29,6997.11474609375,sw_in_lag_3h,f29
f79,6936.1806640625,vpd_mean_72h,f79
f38,6846.4638671875,ws_lag_24h,f38
f34,6416.2275390625,ws_lag_2h,f34
f96,6074.3359375,rh_std_6h,f96
f62,6047.7568359375,ta_std_12h,f62
f72,6031.873046875,vpd_std_6h,f72
f58,5840.275390625,ta_std_3h,f58
f9,5617.7919921875,ta_lag_1h,f9
f16,5604.1708984375,rh_lag_2h,f16
f30,5112.83154296875,sw_in_lag_6h,f30
f22,4845.5166015625,vpd_lag_2h,f22
f28,4828.77685546875,sw_in_lag_2h,f28
f47,4715.15185546875,swc_shallow_lag_3h,f47
f24,4638.8212890625,vpd_lag_6h,f24
f103,4618.0234375,rh_mean_72h,f103
f74,4544.15283203125,vpd_std_12h,f74
f35,4480.3720703125,ws_lag_3h,f35
f99,4387.74365234375,rh_mean_24h,f99
f13,4272.4091796875,ta_lag_12h,f13
f10,4152.7138671875,ta_lag_2h,f10
f53,4104.9072265625,ppfd_in_lag_3h,f53
f84,4047.57470703125,sw_in_std_6h,f84
f12,3901.166748046875,ta_lag_6h,f12
f60,3873.379150390625,ta_std_6h,f60
f18,3869.671875,rh_lag_6h,f18
f49,3712.43701171875,swc_shallow_lag_12h,f49
f25,3415.958740234375,vpd_lag_12h,f25
f97,3093.510986328125,rh_mean_12h,f97
f54,2891.45263671875,ppfd_in_lag_6h,f54
f33,2886.58984375,ws_lag_1h,f33
f150,1827.92919921875,leaf_area_index,f150
f37,1071.5330810546875,ws_lag_12h,f37
f36,914.2723999023438,ws_lag_6h,f36
