feature_index,feature_name
f0,ta
f1,rh
f2,vpd
f3,sw_in
f4,ws
f5,precip
f6,swc_shallow
f7,ppfd_in
f8,ext_rad
f9,hour
f10,day_of_year
f11,month
f12,year
f13,day_of_week
f14,solar_hour
f15,solar_day_of_year
f16,solar_hour_sin
f17,solar_hour_cos
f18,solar_day_sin
f19,solar_day_cos
f20,is_daylight
f21,is_peak_sunlight
f22,is_weekend
f23,ta_lag_1h
f24,ta_lag_2h
f25,ta_lag_3h
f26,ta_lag_6h
f27,ta_lag_12h
f28,ta_lag_24h
f29,rh_lag_1h
f30,rh_lag_2h
f31,rh_lag_3h
f32,rh_lag_6h
f33,rh_lag_12h
f34,rh_lag_24h
f35,vpd_lag_1h
f36,vpd_lag_2h
f37,vpd_lag_3h
f38,vpd_lag_6h
f39,vpd_lag_12h
f40,vpd_lag_24h
f41,sw_in_lag_1h
f42,sw_in_lag_2h
f43,sw_in_lag_3h
f44,sw_in_lag_6h
f45,sw_in_lag_12h
f46,sw_in_lag_24h
f47,ws_lag_1h
f48,ws_lag_2h
f49,ws_lag_3h
f50,ws_lag_6h
f51,ws_lag_12h
f52,ws_lag_24h
f53,precip_lag_1h
f54,precip_lag_2h
f55,precip_lag_3h
f56,precip_lag_6h
f57,precip_lag_12h
f58,precip_lag_24h
f59,swc_shallow_lag_1h
f60,swc_shallow_lag_2h
f61,swc_shallow_lag_3h
f62,swc_shallow_lag_6h
f63,swc_shallow_lag_12h
f64,swc_shallow_lag_24h
f65,ppfd_in_lag_1h
f66,ppfd_in_lag_2h
f67,ppfd_in_lag_3h
f68,ppfd_in_lag_6h
f69,ppfd_in_lag_12h
f70,ppfd_in_lag_24h
f71,ta_mean_3h
f72,ta_std_3h
f73,ta_mean_6h
f74,ta_std_6h
f75,ta_mean_12h
f76,ta_std_12h
f77,ta_mean_24h
f78,ta_std_24h
f79,ta_mean_48h
f80,ta_std_48h
f81,ta_mean_72h
f82,ta_std_72h
f83,vpd_mean_3h
f84,vpd_std_3h
f85,vpd_mean_6h
f86,vpd_std_6h
f87,vpd_mean_12h
f88,vpd_std_12h
f89,vpd_mean_24h
f90,vpd_std_24h
f91,vpd_mean_48h
f92,vpd_std_48h
f93,vpd_mean_72h
f94,vpd_std_72h
f95,sw_in_mean_3h
f96,sw_in_std_3h
f97,sw_in_mean_6h
f98,sw_in_std_6h
f99,sw_in_mean_12h
f100,sw_in_std_12h
f101,sw_in_mean_24h
f102,sw_in_std_24h
f103,sw_in_mean_48h
f104,sw_in_std_48h
f105,sw_in_mean_72h
f106,sw_in_std_72h
f107,rh_mean_3h
f108,rh_std_3h
f109,rh_mean_6h
f110,rh_std_6h
f111,rh_mean_12h
f112,rh_std_12h
f113,rh_mean_24h
f114,rh_std_24h
f115,rh_mean_48h
f116,rh_std_48h
f117,rh_mean_72h
f118,rh_std_72h
f119,temp_deviation
f120,tree_size_factor
f121,sapwood_leaf_ratio
f122,transpiration_capacity
f123,latitude
f124,longitude
f125,elevation
f126,mean_annual_temp
f127,mean_annual_precip
f128,biome
f129,biome_code
f130,igbp_class
f131,igbp_code
f132,country
f133,country_code
f134,site_code
f135,site_name
f136,is_inside_country
f137,stand_age
f138,basal_area
f139,tree_density
f140,stand_height
f141,leaf_area_index
f142,clay_percentage
f143,sand_percentage
f144,silt_percentage
f145,soil_depth
f146,soil_texture
f147,soil_texture_code
f148,terrain
f149,terrain_code
f150,growth_condition
f151,growth_condition_code
f152,species_name
f153,leaf_habit
f154,leaf_habit_code
f155,n_trees
f156,pl_age
f157,pl_dbh
f158,pl_height
f159,pl_leaf_area
f160,pl_bark_thick
f161,pl_social
f162,social_status_code
f163,pl_species
f164,pl_sapw_area
f165,pl_sapw_depth
f166,measurement_timestep
f167,measurement_frequency
f168,timezone
f169,timezone_offset
f170,climate_zone
f171,climate_zone_code
f172,latitude_abs
f173,aridity_index
f174,tree_size_class
f175,tree_age_class
f176,tree_volume_index
